,Member,Trade bil. USD (2022)[61],Nom. GDP mil. USD (2023)[62],PPP GDP mil. USD (2023)[62],Nom. GDP per capita USD (2023)[62],PPP GDP per capita USD (2023)[62],HDI (2021),Population (2022)[63],Area km2,P5,G4,G7,BRICS,MIKTA,DAC,OECD,C'wth,NATO,SCO,IMF economy classification[64][65]
0,Argentina,170.1,621833,1239515,13297,26506,0.842,46300000,2780400,No,No,No,No,No,No,No,No,No,No,Emerging
1,Australia,721.4,1687713,1719262,63487,64674,0.951,26141369,7692024,No,No,No,No,Yes,Yes,Yes,Yes,global partner,No,Advanced
2,Brazil,626.4,2126809,4101022,10413,20079,0.754,217240060,8515767,No,Yes,No,Yes,No,No,No,No,No,No,Emerging
3,Canada,1179.1,2117805,2378973,53247,59813,0.936,38743000,9984670,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Advanced
4,China,6309.6,17700899,32897929,12541,23309,0.768,1411750000,9596960,Yes,No,No,Yes,No,No,No,No,No,Yes,Emerging
5,France,1435.8,3049016,3868619,46315,58765,0.903,68305148,640679,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Advanced
6,Germany,3226.9,4429838,5537992,52824,66038,0.942,84316622,357114,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Advanced
7,India,1176.8,3732224,13119622,2612,9183,0.633,1406632000,3287263,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Emerging
8,Indonesia,529.4,1417387,4393370,5109,15836,0.705,279088893,1904569,No,No,No,No,Yes,No,No,No,No,No,Emerging
9,Italy,1346.4,2186082,3193180,37146,54259,0.895,61095551,301336,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Advanced
10,Japan,1644.2,4230862,6495214,33950,52120,0.925,125592404,377930,No,Yes,Yes,No,No,Yes,Yes,No,global partner,No,Advanced
11,Mexico,1204.5,1811468,3277601,13804,24976,0.758,131541424,1964375,No,No,No,No,Yes,No,Yes,No,No,No,Emerging
12,South Korea,1415.0,1709232,2924189,33147,56709,0.925,51844834,100210,No,No,No,No,Yes,Yes,Yes,No,global partner,No,Advanced
13,Russia,772.3,1862470,5056479,13006,35310,0.822,145807429,17098242,Yes,No,No,Yes,No,No,No,No,PfP,Yes,Emerging
14,Saudi Arabia,598.8,1069437,2246535,32586,68453,0.875,36168000,2149690,No,No,No,pending,No,No,No,No,No,Dialogue partner,Emerging
15,South Africa,259.1,380906,997444,6191,16211,0.713,61060000,1221037,No,No,No,Yes,No,No,No,Yes,No,No,Emerging
16,Turkey,617.9,1154600,3613540,13384,41888,0.838,85551932,783562,No,No,No,No,Yes,No,Yes,No,Yes,Dialogue partner,Emerging
17,United Kingdom,1353.3,3332059,3871790,48913,56836,0.929,68492933,242495,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Advanced
18,United States,5441.0,26949643,26949643,80412,80412,0.921,337341954,9833517,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Advanced
19,European Union,"[d]5,858.4",18351127,25430409,41114,56975,0.900,446828803,4233262,No,No,Yes,No,No,Yes,No,No,No,No,Advanced (majority)[e]
20,African Union,1379.0,2858342,8865179,"[f]2,044","[g]6,341",[h]0.577,"[i]1,393,676,444",29922059,No,No,No,No,No,No,No,No,No,No,Emerging
